,Station,Longitude,Latitude,Ref. value,Plot Color
1992,CANTON 4N,-90.0361,32.6714,-0.001134716,No Color
1664,CANTON L&D 20,-91.5158,40.1433,-0.00120597,No Color
303,CAPE HATTERAS AP,-75.6219,35.2325,-0.001318843,No Color
2218,CAPE MAY 2 NW,-74.9358,38.9536,-0.002734555,No Color
2260,CARBONDALE SEWAGE PLT,-89.1658,37.7308,-0.000558455,No Color
1028,CARIBOU MUNI AP,-68.0172,46.8706,-0.001537869,No Color
2472,CARLINVILLE,-89.8703,39.2883,-0.000821369,No Color
2084,CARLSBAD,-104.2225,32.3478,-0.000953417,No Color
1102,CARLSBAD CAVERN CITY AP,-104.2581,32.3336,-0.000667365,No Color
2390,CARLSBAD CAVERNS,-104.4433,32.1783,-0.001579358,No Color
423,CARMEL VALLEY,-121.7244,36.4806,-0.000114083,No Color
907,CARO WWTP,-83.3919,43.4839,-0.000458346,No Color
1051,CARRIZO SPRINGS 3S,-99.8733,28.4894,-0.000511306,No Color
638,CARROLL,-94.85,42.065,-0.000946912,No Color
1370,CARROLLTON,-93.4886,39.3594,-0.002065078,No Color
106,CARSON CITY,-119.7678,39.1253,0.000218807,No Color
1875,CARTERSVILLE,-84.7925,34.2042,-0.000754666,No Color
2351,CARTHAGE,-94.3397,32.1614,-0.000508279,No Color
1059,CARVILLE 2 SW,-91.1256,30.1981,-0.000572802,No Color
46,CASA GRANDE NM,-111.5367,32.9947,-0.000757471,No Color
846,CASCADE 1 NW,-116.0481,44.5228,-0.000214547,No Color
831,CASCADE 20 SSE,NA,NA,7.19E-05,No Color
